"","station","vec_estimated_k","vec_estimated_l","vec_estimated_r","vec_n","vec_x_max","vec_ksmod_pvalue","check","mark"
"1","175_SRF",0.446618734168667,-0.0229563278093713,0,247,2324400,0,FALSE,1
"2","180_DCM",0.218843859323093,-0.242561394121584,0,372,1140069,0,FALSE,1
"3","188_DCM",0.517953610134381,0.0289928104473184,0,386,1000952,0,FALSE,1
"4","188_SRF",0.529418637052495,0.0182290820973498,0,516,716203,0,FALSE,1
"5","205_SRF",0.298107937816227,-0.18062506042722,0,541,600574,0,FALSE,1
"6","193_SRF",0.247278914039672,-0.224247454876012,0,252,422185,0,FALSE,1
"7","087_SRF",0.689488604228845,0.0450350561948342,0,754,384247,0,FALSE,1
"8","189_SRF",0.221815038031951,-0.211346227811552,0,177,366246,0,FALSE,1
"9","189_DCM",0.74049543344352,0.248842706591572,0,209,279282,0,FALSE,1
"10","206_SRF",1.16059436805083,0.66563590695107,0,300,261964,0,FALSE,1
"11","088_SRF",2.1303917891887,1.43267368400295,0,684,254513,0,FALSE,1
"12","196_SRF",0.0726174636996821,-0.343438325484279,0,290,215200,0,FALSE,1
"13","085_SRF",0.140362446580477,-0.334959199621207,0,244,200327,0,FALSE,1
"14","086_SRF",1.13993540560929,0.326636567733884,0,568,179905,0,FALSE,1
"15","173_SRF",0.283660115629829,-0.201869263451372,0,422,163657,0,FALSE,1
"16","201_DCM",0.657366999623414,0.0947915521537333,0,577,135809,0,FALSE,1
"17","191_SRF",0.0130323500397885,-0.356631919380728,0,245,88326,0,FALSE,1
"18","082_SRF",0.515494240629596,-0.115378316571976,0,358,63231,0,FALSE,1
"19","194_DCM",-0.0136107418209008,-0.43056405316003,0,383,55909,0,FALSE,1
"20","084_SRF",0.720974856786392,0.240355243373845,0,308,53061,0,FALSE,1
"21","209_SRF",0.789958514626606,0.307441069943247,0,371,50298,0,FALSE,1
"22","194_SRF",-0.0865150998157063,-0.45110836627278,0,319,43201,0,FALSE,1
"23","180_SRF",0.461478537137938,0.00374466285499876,0,154,40527,0,FALSE,1
"24","036_SRF",0.0857434189156735,-0.299489715636076,8.78838828491965e-06,233,35795,0,FALSE,1
"25","210_SRF",0.209857219433112,-0.184946441192731,0,179,31294,0,FALSE,1
"26","036_DCM",0.0881027427701503,-0.288022628953226,5.79540026310359e-06,185,27720,0,FALSE,1
"27","139_SRF",0.257543541087071,-0.288690074248535,0,229,26872,0,FALSE,1
"28","201_SRF",0.209739103418685,-0.214075145826177,0,234,20906,0,FALSE,1
"29","066_SRF",0.509729682545489,0.0136764662858938,0,217,19108,0,FALSE,1
"30","163_SRF",-0.251281476728208,-0.5,0,33,18836,0,FALSE,1
"31","102_DCM",0.224746634750743,-0.297996792157273,0,314,18625,0,FALSE,1
"32","085_DCM",-0.101837255809828,-0.5,0,117,18057,0,FALSE,1
"33","168_DCM",0.156721944492905,-0.249973972556113,0,95,17017,0,FALSE,1
"34","122_SRF",0.319895146478244,-0.137651301691752,0,324,16768,0,FALSE,1
"35","046_SRF",0.679005146011297,0.233871690100861,0,229,15664,0,FALSE,1
"36","168_SRF",-0.134848168150831,-0.5,0,83,15433,0,FALSE,1
"37","102_SRF",0.172052106491348,-0.370900444434554,0,250,13336,0,FALSE,1
"38","025_SRF",0.686698718901901,0.220411730865867,0,154,13327,0,FALSE,1
"39","208_SRF",0.400977053212525,0.0115062740401459,0,147,12664,0,FALSE,1
"40","083_SRF",0.377668378273871,0.00682141847945222,0,121,11148,0,FALSE,1
"41","091_SRF",0.698856151582451,0.212151842159673,0,78,10795,0,FALSE,1
"42","022_SRF",0.719458567824129,0.256600275598487,0,185,9478,0,FALSE,1
"43","065_SRF",-0.111689128703146,-0.32916395280304,0.000278182067232856,359,9256,0,FALSE,1
"44","022_DCM",0.602361180843594,0.199486235670645,0,184,9105,0,FALSE,1
"45","140_SRF",0.00839152959700976,-0.299227844639984,0,214,9082,0,FALSE,1
"46","039_DCM",0.0757693145268442,-0.161324213476004,0.000252870031889622,289,8970,0,FALSE,1
"47","122_DCM",0.0263700999989796,-0.362059882266807,0,302,8627,0,FALSE,1
"48","064_DCM",-0.295408535406844,-0.459898230012932,0.00044731878974133,348,8576,0,FALSE,1
"49","039_SRF",-0.221274073859677,-0.399055902108529,0.000269955312576039,313,8360,0,FALSE,1
"50","155_SRF",0.125231295111641,-0.1674626778013,4.98574084308625e-05,75,8179,0,FALSE,1
"51","178_SRF",-0.047890414864496,-0.37914272680244,0,95,8143,0,FALSE,1
"52","025_DCM",0.355901635465616,-0.0256393386929844,7.08798952756266e-05,184,7898,0,FALSE,1
"53","109_DCM",-0.172290553450648,-0.5,4.75376047636301e-05,132,7705,0,FALSE,1
"54","145_SRF",0.303573480352046,-0.154346644499454,0,159,7704,0,FALSE,1
"55","110_SRF",-0.121659685825493,-0.5,0,176,7701,0,FALSE,1
"56","100_DCM",-0.148692123121068,-0.5,0,177,6809,0,FALSE,1
"57","080_SRF",-0.125372791262274,-0.332805040247409,0.000263653309981943,183,6634,0,FALSE,1
"58","067_SRF",0.135708251271444,-0.180140865654678,0,92,6035,0,FALSE,1
"59","026_SRF",0.262202525789403,-0.16312691113644,4.27509051895328e-05,159,6021,0,FALSE,1
"60","023_DCM",10,9.45537198283137,0,56,5896,0,FALSE,1
"61","111_SRF",-0.162809835904749,-0.5,0,146,5850,0,FALSE,1
"62","141_SRF",0.259022712013611,-0.0357172398653064,0.00017574539919557,252,5701,0,FALSE,1
"63","043_SRF",0.72146784113257,0.318428733095152,0,170,5183,0,FALSE,1
"64","024_SRF",0.411242045194839,0.0300914439947975,0.000209521766368426,159,4819,0,FALSE,1
"65","064_SRF",-0.330226040834165,-0.5,0.000550042114810219,291,4647,0,FALSE,1
"66","142_DCM",0.762056306045326,0.259694113966047,0,148,4620,0,FALSE,1
"67","127_SRF",-0.184566713533315,-0.5,0,203,4370,0,FALSE,1
"68","127_DCM",-0.176676911001178,-0.5,0.000164812442445799,181,4254,0,FALSE,1
"69","020_SRF",1.44295373454247,0.889576347492605,0,83,4251,0,FALSE,1
"70","041_SRF",2.00818340525847,1.42077257082651,0,93,3889,0,FALSE,1
"71","123_SRF",-0.155837810616464,-0.5,0,196,3804,0,FALSE,1
"72","100_SRF",-0.225642635923734,-0.5,0,118,3765,0,FALSE,1
"73","135_SRF",-0.313192585949553,-0.5,0.000653213110631602,139,3647,0,FALSE,1
"74","128_DCM",-0.207839958092317,-0.5,0.000242520819716239,144,3620,0,FALSE,1
"75","018_DCM",0.239999232849736,-0.1290111441821,0.000395439621260492,151,3573,0,FALSE,1
"76","106_SRF",-0.141274481551026,-0.5,0,173,3324,0,FALSE,1
"77","111_DCM",-0.168980880929328,-0.5,0,111,3120,0,FALSE,1
"78","049_SRF",1.39135985308713,0.756222325280822,0.000139276512631504,242,2958,0,FALSE,1
"79","023_SRF",0.472397511916963,0.0742841215347092,0,179,2801,0.005,FALSE,1
"80","109_SRF",-0.0507795759611561,-0.413989144561838,0,117,2719,0,FALSE,1
"81","106_DCM",-0.13980658299709,-0.5,0,197,2716,0,FALSE,1
"82","007_DCM",0.209625915365225,-0.196746066251477,0,115,2272,0,FALSE,1
"83","126_SRF",-0.215860481847912,-0.5,0,117,2241,0,FALSE,1
"84","089_SRF",0.0823599388420043,-0.5,0,139,2234,0,FALSE,1
"85","124_SRF",-0.129604643085491,-0.5,0,127,2181,0,FALSE,1
"86","125_SRF",0.00859059015549148,-0.385235174015293,0,86,1973,0,FALSE,1
"87","080_DCM",-0.0495498336732425,-0.277678500171851,0.000238050247678234,185,1897,0.025,FALSE,1
"88","007_SRF",-0.13479297440143,-0.463369052822668,0,94,1846,0,FALSE,1
"89","093_DCM",-0.0502305397246559,-0.369452805614839,0,75,1814,0,FALSE,1
"90","131_SRF",0.375278276517367,-0.128479653681329,0,84,1580,0,FALSE,1
"91","093_SRF",0.0141956678067978,-0.359307701584144,0,57,1347,0,FALSE,1
"92","041_DCM",-0.2323359507624,-0.369426431757767,0.000882435301762396,195,1274,0,FALSE,1
"93","158_SRF",0.196402187379299,-0.164730086346688,0,47,1206,0,FALSE,1
"94","128_SRF",-0.167759801738506,-0.5,0,114,1125,0,FALSE,1
"95","135_DCM",0.552293174569892,0.0880252691736381,0,92,1073,0,FALSE,1
"96","150_SRF",0.113721683316132,-0.5,0,99,1051,0,FALSE,1
"97","131_DCM",0.573844690274977,-0.0366117547547329,0,96,1027,0,FALSE,1
"98","150_DCM",0.395820599049794,-0.349102378701378,0,105,960,0,FALSE,1
"99","052_DCM",0.0505490075056676,-0.280924234046756,0.000617978556317049,117,910,0,FALSE,1
"100","123_DCM",0.0303381019660571,-0.318712675675699,4.54404768958858e-05,119,908,0,FALSE,1
"101","144_SRF",0.427039722469648,-0.069397531974907,0,206,895,0.005,FALSE,1
"102","081_SRF",0.227580483058039,-0.132495527229466,4.81390676339027e-05,58,881,0,FALSE,1
"103","034_SRF",-0.12583663223719,-0.411062788545721,0.000521463263905581,157,877,0,FALSE,1
"104","018_SRF",0.0931108447885013,-0.31900031958781,0.000480142861859909,88,876,0,FALSE,1
"105","034_DCM",0.0860297326016702,-0.214321068867485,0,171,809,0.215,TRUE,1
"106","068_SRF",-0.0129511752265364,-0.357125651134565,0,88,794,0,FALSE,1
"107","092_SRF",-0.201688026377076,-0.437572766325477,0,67,791,0,FALSE,1
"108","032_SRF",0.789244315606505,0.113193910366536,0,95,766,0,FALSE,1
"109","052_SRF",0.252256306437243,-0.0845283069965206,0,79,763,0.005,FALSE,1
"110","158_DCM",-0.197186172999007,-0.5,0,72,756,0,FALSE,1
"111","076_SRF",0.678082906316615,0.186451804746818,0,39,708,0,FALSE,1
"112","030_SRF",0.470346932899946,0.011827900466818,0,72,668,0.075,FALSE,1
"113","081_DCM",0.855998240836591,0.276526531299268,0,61,667,0.005,FALSE,1
"114","078_SRF",0.180484948146072,-0.252376414205545,0.000774210478912946,96,659,0,FALSE,1
"115","057_SRF",-0.271305135350937,-0.5,0.000923457847321631,226,644,0,FALSE,1
"116","054_SRF",-0.417180337739629,-0.5,0,119,633,0.25,TRUE,1
"117","070_SRF",-0.18430764678899,-0.5,0,92,629,0.005,FALSE,1
"118","094_SRF",-0.152007191298118,-0.5,0,40,627,0,FALSE,1
"119","076_DCM",-0.135199360899106,-0.5,0,40,610,0,FALSE,1
"120","151_DCM",0.0402045623398423,-0.5,0,49,555,0.005,FALSE,1
"121","014_SRF",-0.35429645342052,-0.5,0,66,552,0.01,FALSE,1
"122","042_SRF",0.408135610610894,-0.0366163473964197,0,77,542,0,FALSE,1
"123","129_SRF",-0.0936409328956211,-0.41231801721935,0.0013610375253601,98,513,0,FALSE,1
"124","017_DCM",0.584789330753742,-0.00500496000645214,0,62,506,0,FALSE,1
"125","142_SRF",0.26043853769392,-0.262170365202653,0,99,435,0,FALSE,1
"126","146_SRF",0.0245201400120997,-0.453561459218106,0,51,417,0,FALSE,1
"127","038_DCM",0.387468596514099,-0.0304479691793709,0.000339359371057637,86,412,0,FALSE,1
"128","129_DCM",-0.14919597437767,-0.409440908478057,0,76,375,0.105,TRUE,1
"129","008_SRF",0.386862802382601,0.0206692432736162,0,33,331,0,FALSE,1
"130","072_SRF",0.943901887873559,0.42152403964483,0,46,320,0,FALSE,1
"131","137_SRF",0.538292778623165,0.115097646008125,0,38,292,0.125,TRUE,1
"132","032_DCM",-0.418120037480664,-0.5,0.00487701595752229,144,273,0,FALSE,1
"133","050_SRF",0.113500102232939,-0.326803442779008,0,33,249,0,FALSE,1
"134","130_SRF",0.571567808135411,0.176561571088634,0,42,246,0.005,FALSE,1
"135","137_DCM",-0.19291248889396,-0.465377501302708,0.00246972212267842,49,240,0,FALSE,1
"136","132_SRF",0.0996076813372967,-0.294663212736764,0,26,239,0,FALSE,1
"137","042_DCM",-0.5,-0.217819675764887,0.018121132233883,101,219,0,FALSE,1
"138","053_SRF",-0.105003082247069,-0.447812571777881,0,55,214,0,FALSE,1
"139","147_SRF",1.29700163411462,0.371487557159173,0,40,213,0,FALSE,1
"140","011_SRF",1.17468666863755,0.314928184751251,0,81,202,0,FALSE,1
"141","030_DCM",-0.0618320351430232,-0.376001051885534,0,53,200,0.695,TRUE,1
"142","031_SRF",0.88593976364175,0.273536967455971,0,71,200,0.37,TRUE,1
"143","021_SRF",-0.326466973182073,-0.5,0.000822204210088158,25,196,0,FALSE,1
"144","051_SRF",0.0998484840701231,-0.366964064921539,0,42,195,0.005,FALSE,1
"145","095_SRF",0.946805982416945,0.256027525154293,0,33,189,0.005,FALSE,1
"146","133_SRF",0.591036042606769,0.113825329027197,0,23,170,0,FALSE,1
"147","132_DCM",-0.346865458457421,-0.411220062001672,0.0165763043403102,57,163,0,FALSE,1
"148","047_SRF",0.438806732980744,-0.0802765538977867,0,69,158,0.01,FALSE,1
"149","008_DCM",0.134172362157483,0.0302598086642409,0.0113152874571063,49,150,0.205,TRUE,1
"150","047_DCM",-0.5,-0.349356446721923,0.0235935020487584,119,150,0.25,TRUE,1
"151","058_DCM",0.972556193467696,0.433083889339878,0.00425974864217905,95,150,0.585,TRUE,1
"152","058_SRF",-0.39319655327216,-0.5,0.00423795811382155,98,150,0.8,TRUE,1
"153","098_SRF",0.49063859615788,0.02335724859163,0,32,150,0.555,TRUE,1
"154","099_SRF",0.342100422023368,-0.241181469977254,0,28,126,0,FALSE,1
"155","096_SRF",0.517716431730365,-0.210698628583106,0,12,108,0,FALSE,1
"156","149_SRF",1.42612462747745,0.538365104899832,0,62,103,0.005,FALSE,1
"157","010_SRF",-0.214811222718192,-0.5,0.00149942290039234,22,100,0.445,TRUE,1
"158","012_DCM",-0.217143319987562,-0.5,0,50,100,0.41,TRUE,1
"159","012_SRF",2.36782995954199,1.94650170996714,0,24,100,0.58,TRUE,1
"160","033_SRF",0.491430578412227,-0.0432042824517965,0,60,100,0.33,TRUE,1
"161","038_SRF",10,8.10730290687084,0.00329703023582297,33,100,0.32,TRUE,1
"162","045_SRF",-0.113946904350201,-0.5,0,21,100,0.685,TRUE,1
"163","072_DCM",-0.32916528641723,-0.5,0.0220443065237028,50,100,0.855,TRUE,1
"164","098_DCM",-0.291037019708046,-0.5,0.00808021110717001,46,100,0.695,TRUE,1
"165","136_SRF",0.551192389881044,-0.0529029096870824,0,31,100,0.23,TRUE,1
"166","138_DCM",-0.475019205003387,-0.5,0.0267700775924381,36,100,0.59,TRUE,1
"167","143_DCM",-0.154436411703659,-0.5,0.003800707897887,63,100,0.875,TRUE,1
"168","148_SRF",0.239076040018348,-0.217867401498693,0.00556358255693219,56,100,0.69,TRUE,1
"169","151_SRF",0.609690646121418,0.0351339323951417,0.00403275915667293,64,100,0.695,TRUE,1
"170","152_SRF",-0.5,-0.5,0.0341522257551504,55,100,0.655,TRUE,1
"171","155_DCM",0.238747692076635,-0.288111436432275,0,33,100,0,FALSE,1
"172","010_DCM",1.39825754135308,0.445388670436815,0,46,50,0.235,TRUE,1
"173","017_SRF",1.39090706697883,0.40180886396996,0,14,50,0.375,TRUE,1
"174","051_DCM",1.71642739945283,0.709162352966426,0,88,50,0.895,TRUE,1
"175","062_SRF",-0.5,-0.415306096003925,0.0483285609004731,72,50,0.81,TRUE,1
"176","071_SRF",-0.5,-0.5,0.0627598578042148,45,50,0.395,TRUE,1
"177","078_DCM",2.48129598747715,1.50044018176591,0,72,50,0.05,FALSE,1
"178","090_SRF",1.54327038488157,0.798978954550841,0.1,23,50,0.775,TRUE,1
"179","097_SRF",-0.5,-0.468504170853368,0,11,50,0.345,TRUE,1
"180","133_DCM",0.151762088237244,-0.334756492786875,0,29,50,0.705,TRUE,1
"181","138_SRF",-0.0103135167729347,-0.311777509242392,0,22,50,0.09,FALSE,1
"182","143_SRF",0.836170519230151,0.0481787017116892,0,39,50,0.245,TRUE,1
