station	latitude	longitude	depth_category	depth_nominal	month	SSD	temp_woa	sal_woa	no3_woa	po4_woa	sioh4_woa	dco	dcu	dfe	dzn
007	37.0434	1.9493	SUR	9	9	727	25.3204002380371	37.2433891296387	0.654349029064178	0.171634286642075	0.129360869526863	55.321	1.129	2.158	3.596
008	38.005	3.9899	SUR	9	9	717	25.6286087036133	37.4514999389648	0.212858200073242	0.154928714036942	0.584275662899017	51.391	1.152	1.7	3.868
010	40.6541	2.8407	SUR	9	9	711	24.7973003387451	37.9257125854492	0.0727773904800415	0.103805638849735	0.45114666223526	60.567	1.089	3.298	3.197
011	41.6645	2.7983	SUR	9	10	NA	21.6301975250244	37.9609279632568	0.00706063769757748	0.0283310133963823	0.0658098654821515	65.818	1.336	3.837	4.457
012	43.3482	7.901	SUR	5	10	675	20.3616704940796	38.1781692504883	0.00658294605091214	0.033685986418277	0.0895976126194	100.297	1.04	4.29	2.368
014	39.91	12.8266	SUR	5	10	658	22.4066104888916	38.1651992797852	0.130252584815025	0.120232939720154	0.754303395748138	47.804	1.095	1.481	3.216
017	36.2678	14.3055	SUR	5	10	649	23.0446910858154	38.0746879577637	0.539129555225372	0.171881392598152	1.28918194770813	82.009	1.148	2.513	4.048
018	35.7606	14.2522	SUR	5	11	641	21.3249092102051	38.1430892944336	0.122970908880234	0.0171867106109858	2.43140935897827	82.341	1.133	2.095	3.998
019	34.2116	13.7684	SUR	5	11	630	21.9189910888672	38.1718902587891	0.327580124139786	0.0191674940288067	2.64310264587402	96.831	1.103	2.082	3.944
020	34.453	14.9538	SUR	5	11	627	22.1174087524414	38.219310760498	0.227576091885567	0.0119535224512219	2.23423099517822	83.987	1.076	1.869	3.806
021	37.5057	17.2174	SUR	5	11	610	20.2698097229004	38.5144119262695	0.0787921547889709	0.0153297986835241	1.53930222988129	50.775	1.39	1.212	5.368
022	39.5705	17.4101	SUR	5	11	597.5	19.5867366790771	38.6145401000977	0.103337821861108	0.0062520286689202	1.28051406145096	51.342	1.67	1.349	6.282
023	42.1735	17.7252	SUR	5	11	582	17.6539026896159	38.6447359720866	0.247289344668388	0.0632990685602029	2.82461166381836	155.738	1.053	4.12	2.46
024	42.4552	17.9348	SUR	5	11	575	17.6539026896159	38.6447359720866	0.247289344668388	0.0632990685602029	2.82461166381836	155.738	1.053	4.12	2.46
025	39.3888	19.3905	SUR	5	11	587.5	19.2237091064453	38.4057998657227	0.356505364179611	0.00778073072433472	1.31175482273102	60.303	1.116	2.284	3.885
026	38.425	20.1913	SUR	5	11	632.6666666666666	20.0548896789551	38.3590888977051	0.0544711127877235	0.0707586333155632	1.89963972568512	-999	-999	-999	4.336
030	33.9178	32.8872	SUR	5	12	595	20.2464008331299	39.2738990783691	0.181377962231636	0.159740954637527	1.64857769012451	48.371	1.066	1.135	4.075
031	27.145	34.8067	SUR	5	1	632	22.9568996429443	40.3986129760742	0.153497412800789	0.137777671217918	0.960544288158417	243.02	0.908	2.12	0.797
032	23.36	37.2183	SUR	5	1	649	24.8798904418945	39.5863876342773	0.188689634203911	0.0179385039955378	1.02944314479828	247.974	0.932	2.193	0.826
033	22.025	38.2333	SUR	5	1	654.5	26.1500911712646	39.1663131713867	0.19965535402298001	0.0958915427327156	1.06083977222443	240.579	0.909	2.177	0.811
034	18.3967	39.875	SUR	5	1	672	26.6068096160889	38.0615119934082	0.100832708179951	0.131181612610817	2.41174697875977	232.786	0.896	4.157	0.851
036	20.8222	63.5133	SUR	5	3	717	25.9537906646729	36.5188903808594	1.39381790161133	0.3832668364048	1.56870019435883	56.453	0.936	1.196	0.971
038	19.0351	64.5638	SUR	5	3	721	26.3012104034424	36.5104904174805	0.913694024085999	0.344897717237473	1.84536850452423	56.453	0.936	1.196	0.971
039	18.5839	66.4727	SUR	5	3	724	26.7712097167969	36.4241104125977	0.37709304690361	0.288929551839828	2.47091484069824	62.492	0.882	1.336	0.895
041	14.6059	69.9776	SUR	5	3	735	28.1505908966064	35.8630104064941	0.128936514258385	0.211062669754028	2.61545300483704	62.774	0.835	1.969	0.799
042	6.0001	73.8955	SUR	5	4	731	30.161491394043	34.4411888122559	0.168556809425354	0.161131843924522	1.89633858203888	59.288	0.793	2.102	0.804
043	4.6599	73.4856	SUR	5	4	731	30.09010887146	34.421989440918	0.250500470399857	0.159904614090919	2.46257901191711	61.412	0.765	2.079	0.809
045	0.0033	71.6428	SUR	5	4	727	30.0821895599365	34.9012870788574	0.192722350358963	0.236678779125214	5.05595636367798	30.028	0.662	1.179	0.796
046	-0.6625	73.161	SUR	5	4	726	29.9358005523682	34.8501892089844	0.29450386762619	0.238740414381027	3.98360753059387	30.898	0.632	1.221	0.784
047	-2.0465	72.1568	SUR	5	4	724	29.7691097259521	34.7865982055664	0.224442034959793	0.243372216820717	5.69509887695312	30.678	0.619	1.226	0.774
049	-16.8084	59.5043	SUR	5	4	696	28.2076091766357	34.831600189209	0.0195312276482582	0.249897167086601	2.37985563278198	33.835	0.569	0.852	0.747
051	-21.5043	54.3563	SUR	5	5	669	26.6021099090576	35.0476112365723	0.0385694988071918	0.134835407137871	2.96756839752197	40.205	0.509	1.038	0.702
052	-16.957	53.9801	SUR	5	5	678	27.368989944458	34.8870124816895	0.0373833924531937	0.140394225716591	3.47754645347595	36.065	0.542	0.796	0.733
053	-13.0833	46.971	SUR	5	5	687	28.532600402832	34.9005126953125	4.42642485722899e-4	0.152095481753349	2.15465903282166	59.641	0.551	2.526	0.734
054	-12.807	45.2247	SUR	5	5	687	28.3120098114014	34.9033012390137	3.39928752509877e-4	0.183467343449593	2.23384118080139	45.719	0.547	1.566	0.736
057	-17.0248	42.7401	SUR	5	6	667	26.3834991455078	35.0258102416992	0.0243143122643232	0.20604345202446	3.33773732185364	51.828	0.549	1.887	0.736
058	-17.4174	42.2547	SUR	5	6	665.5	26.3834991455078	35.0258102416992	0.0243143122643232	0.20604345202446	3.33773732185364	51.828	0.549	1.887	0.736
062	-22.3368	40.3412	SUR	5	7	648	24.3612003326416	35.2811889648438	0.0319115743041039	0.147584810853004	3.55102920532227	48.733	0.51	1.394	0.703
064	-29.5019	37.9889	SUR	5	7	620	21.9374008178711	35.4496116638184	0.473721444606781	0.131102383136749	1.45905554294586	37.024	0.534	0.955	0.717
065	-35.1728	26.2868	SUR	5	7	597	20.177490234375	35.4914131164551	2.32210397720337	0.395076096057892	4.33201599121094	42.259	0.567	1.375	0.771
066	-34.9449	17.9189	SUR	5	7	601.5	16.4027004241943	35.3732109069824	3.29224133491516	0.631964921951294	6.66895627975464	45.278	0.742	1.993	1.059
067	-32.2401	17.7103	SUR	5	9	697	15.2997903823853	35.249210357666	3.17573356628418	0.722875118255615	4.27686882019043	-999	-999	-999	-999
068	-31.0266	4.665	SUR	5	9	710.5	16.7139091491699	35.6510124206543	0.244347810745239	0.434491038322449	4.2799859046936	13.629	0.746	0.048	0.902
070	-20.4091	-3.1759	SUR	5	9	725	19.6231899261475	36.2012901306152	0.340886771678925	0.271181225776672	1.69512546062469	21.487	0.965	0.725	1.064
071	-9.3	-9.5587	SUR	5	9	729	23.4624996185303	36.2579002380371	0.193854495882988	0.252943456172943	1.48769307136536	28.15	0.833	0.734	0.868
072	-8.7789	-17.9099	SUR	5	10	732.5	24.5283908843994	36.2210884094238	0.0532614924013615	0.106488890945911	1.30011236667633	28.05	0.81	0.728	0.847
076	-20.9354	-35.1803	SUR	5	10	755	24.2596912384033	37.1759872436523	0.280447423458099	0.133171677589417	2.5739061832428	21.955	0.777	0.793	0.829
078	-30.1367	-43.2899	SUR	5	11	802	20.2515087127686	36.2625885009766	0.13833849132061	0.0310167726129293	2.40887761116028	22.947	0.773	0.617	0.841
080	-40.6511	-52.182	SUR	5	11	888.5	14.2298908233643	34.7732009887695	2.60963106155396	0.417359113693237	2.99579262733459	39.202	0.881	0.758	1.052
081	-44.5342	-52.455	SUR	5	12	919	14.2325096130371	34.7035102844238	3.37670660018921	0.510580658912659	1.74105131626129	25.018	-999	0.073	-999
082	-47.1863	-58.2902	SUR	5	12	945	9.40950965881348	34.0094108581543	8.19539737701416	0.749630451202393	2.05274820327759	25.103	-999	0.082	1.769
083	-54.3739	-65.1342	SUR	5	12	1031	6.37510164578756	33.6297384897868	12.1967738469442	1.020189255476	3.66066360473633	-999	-999	-999	-999
084	-60.2287	-60.6476	SUR	5	1	1123.75	1.78018999099731	33.8057098388672	22.6029853820801	1.65344071388245	28.1510963439941	29.884	1.01	0.07	3.491
085	-62.0385	-49.529	SUR	5	1	1157.6	-0.332010000944138	33.9269866943359	23.6984939575195	1.50477313995361	64.7300567626953	40.247	1.042	0.11	3.204
086	-64.3595	-53.0063	SUR	5	1	1217	-0.410310000181198	33.9122123718262	22.4675350189209	1.52082395553589	68.6536483764648	53.426	1.142	0.148	3.952
087	-63.8768	-56.0916	SUR	5	1	1152.5	0.0504960004240274	34.2299369812012	23.6810764312744	1.73366034030914	77.6079055786133	-999	-999	-999	-999
088	-63.4015	-56.7938	SUR	5	1	1109.5	0.0504960004240274	34.2299369812012	23.6810764312744	1.73366034030914	77.6079055786133	-999	-999	-999	-999
089	-57.7338	-67.1084	SUR	5	1	993	5.80169010162354	33.9965896606445	16.9418907165527	1.2755606174469	1.47755432128906	23.613	0.964	0.13	2.222
090	-39.6466	-76.9634	SUR	5	2	801	17.4362907409668	33.8293876647949	1.8290479183197	0.370829403400421	2.62758994102478	21.85	0.952	0.432	1.009
091	-34.161	-73.0995	SUR	5	2	778	16.838809967041	34.2200126647949	7.85882949829102	0.956501603126526	6.29791641235352	39.761	1.071	0.909	1.408
092	-33.6895	-71.998	SUR	9	2	775	17.4537601470947	34.368844350179	10.8311586380005	1.28438814481099	5.33435575167338	60.126	1.117	1.259	1.896
093	-34.0614	-73.1066	SUR	5	3	744.5	16.9763088226318	34.2267112731934	5.10369300842285	0.350607216358185	4.5495433807373	39.297	1.074	0.886	1.437
094	-32.7971	-87.0693	SUR	5	3	734	21.9814910888672	34.7869110107422	0.20989316701889	0.23034955561161	1.11745011806488	2.287	0.387	0.018	0.599
095	-31.4328	-93.9583	SUR	5	3	727	22.5727996826172	35.0471878051758	0.0810933783650398	0.206318631768227	0.719234824180603	2.333	0.388	0.023	0.588
096	-29.7238	-101.1604	SUR	5	3	722	24.2449913024902	35.6793899536133	0.0837379768490791	0.135371536016464	0.385226339101791	2.421	0.385	0.03	0.579
097	-28.1698	-107.3833	SUR	5	3	715.3333333333334	24.5447902679443	35.8986892700195	0.0280530098825693	0.108712822198868	0.333856016397476	2.589	0.384	0.034	0.576
098	-25.8051	-111.7202	SUR	5	4	706.8	25.059009552002	36.3167114257812	0.00582981761544943	0.134595051407814	1.01095306873322	3.252	0.409	0.034	0.606
099	-21.146	-104.787	SUR	5	4	704	24.4946098327637	36.284912109375	0.0300477147102356	0.241722956299782	0.843688607215881	6.194	0.512	0.026	0.726
100	-13.0023	-95.9759	SUR	5	4	709	25.2312984466553	35.7923126220703	5.76220750808716	0.690945506095886	2.13452386856079	18.501	0.732	0.005	0.819
102	-5.2529	-85.1545	SUR	5	4	717.5	26.1154098510742	34.9157104492188	5.68570232391357	0.664420485496521	4.63538503646851	82.387	1.061	0.813	1.136
106	-0.0283	-84.5862	SUR	5	5	727	24.3959999084473	34.7716903686523	6.70578527450562	0.656789004802704	6.22365808486938	57.131	1.08	0.772	1.123
109	1.9928	-84.5766	SUR	5	5	732	26.341609954834	34.021312713623	3.3144807815551802	0.489999651908875	4.54979228973389	62.845	1.007	0.801	0.999
110	-2.0133	-84.589	SUR	5	5	721	23.4434909820557	35.0462875366211	8.38376903533936	0.745409846305847	7.3287296295166	51.426	1.08	0.678	1.138
111	-16.9601	-100.6335	SUR	5	5	671	23.7784996032715	36.0025901794434	2.67647480964661	0.490540206432343	0.811858057975769	15.877	0.666	0.005	0.852
112	-23.2811	-129.3947	SUR	5	6	643	24.7124900817871	36.0974884033203	0.00408227136358619	0.22694918513298	0.544474542140961	4.003	0.406	0.041	0.602
113	-23.1108	-134.9327	SUR	5	6	643	24.8268089294434	36.0994873046875	0	0.163372084498405	0.0566456615924835	4.187	0.403	0.056	0.601
114	-23.1595	-134.9236	SUR	5	6	643	24.8268089294434	36.0994873046875	0	0.163372084498405	0.0566456615924835	4.187	0.403	0.056	0.601
115	-23.2317	-134.9611	SUR	5	6	643	24.8268089294434	36.0994873046875	0	0.163372084498405	0.0566456615924835	4.187	0.403	0.056	0.601
116	-23.2329	-134.9606	SUR	5	6	643	24.8268089294434	36.0994873046875	0	0.163372084498405	0.0566456615924835	4.187	0.403	0.056	0.601
117	-23.1571	-135.018	SUR	5	7	644	23.8334999084473	36.0675888061523	0.0127451894804835	0.216816753149033	1.34022879600525	4.142	0.395	0.048	0.595
118	-23.1571	-135.018	SUR	5	7	644	23.8334999084473	36.0675888061523	0.0127451894804835	0.216816753149033	1.34022879600525	4.142	0.395	0.048	0.595
119	-23.0244	-134.9228	SUR	5	7	646	23.7997093200684	36.1082878112793	0.0172637887299061	0.198213770985603	1.34950935840607	4.15	0.396	0.049	0.595
120	-23.0242	-134.9232	SUR	5	7	646	23.7997093200684	36.1082878112793	0.0172637887299061	0.198213770985603	1.34950935840607	4.15	0.396	0.049	0.595
121	-23.073	-135.018	SUR	5	7	647	23.8334999084473	36.0675888061523	0.0127451894804835	0.216816753149033	1.34022879600525	4.142	0.395	0.048	0.595
122	-8.9971	-139.1963	SUR	5	7	701.5	27.3946895599365	35.406810760498	3.61117434501648	0.420098036527634	1.27489292621613	6.765	0.502	0.011	0.696
123	-8.9068	-140.283	SUR	5	7	703.5	27.4747104644775	35.4206123352051	3.54471635818481	0.399269342422485	1.14813756942749	6.653	0.5	0.005	0.691
124	-9.1504	-140.5216	SUR	5	8	704.5	27.2223091125488	35.5317993164062	2.30720186233521	0.486854493618011	0.469304233789444	6.633	0.498	0.01	0.692
125	-8.9111	-142.5571	SUR	5	8	706	27.367000579834	35.4763107299805	3.01191782951355	0.453577309846878	0.614605903625488	6.296	0.489	0.005	0.683
126	-11.9873	-151.05	SUR	5	8	710	27.7954902648926	35.8194999694824	0.876356363296509	0.384613454341888	1.23783004283905	5.396	0.461	0.016	0.678
127	-6.6499	-152.4243	SUR	5	8	719	27.8460006713867	35.4897880554199	4.38895988464355	0.592574596405029	2.89437913894653	5.775	0.461	0.005	0.673
128	3e-4	-153.6759	SUR	5	9	727	27.0867004394531	35.1443901062012	1.88445496559143	0.363440603017807	2.56428933143616	11.318	0.586	0.011	0.767
129	6.671	-153.0658	SUR	5	9	731.5	28.4925994873047	34.5035018920898	0.548496961593628	0.217992097139359	0.8330357670784	5.189	0.39	0.025	0.64
130	11.2723	-152.3711	SUR	5	9	733	27.9566097259521	34.1591987609863	0.0208247750997543	0.227319300174713	0.0517660602927208	4.369	0.361	0.044	0.638
131	22.7598	-157.9568	SUR	5	9	718.5	26.6915912628174	35.1075897216797	0.0233355816453695	0.064152680337429	1.59931576251984	6.719	0.377	0.303	0.656
132	31.5213	-158.9958	SUR	5	10	707	24.5896091461182	35.1104888916016	0.0383353307843208	0.0562953427433968	2.02075433731079	12.145	0.652	0.123	0.838
133	35.2698	-127.7268	SUR	5	10	674	18.1417102813721	33.0634117126465	0.0192470084875822	0.357989549636841	1.01091349124908	18.788	0.762	0.205	0.896
135	32.931	-121.8645	SUR	5	10	668.5	17.6886005401611	33.3315887451172	0.0225871149450541	0.309364289045334	1.89828586578369	41.332	1.031	1.123	1.105
136	17.0854	-118.8913	SUR	5	11	671.5	26.0118999481201	34.3111114501953	0.275108695030212	0.189155146479607	3.69663763046265	21.003	0.656	0.314	0.806
137	14.2035	-116.6261	SUR	5	12	681	26.8266086578369	33.8307113647461	0.566930830478668	0.203113734722137	2.39960289001465	22.148	0.685	0.273	0.808
138	6.3332	-102.9432	SUR	5	12	706	26.9248008728027	33.4410018920898	2.97005796432495	0.285649538040161	5.08116769790649	12.225	0.61	0.102	0.777
139	6.4998	-94.9527	SUR	5	12	705	27.0218906402588	33.1175117492676	0.191363334655762	0.395632386207581	7.2331109046936	20.755	0.765	0.154	0.85
140	7.4122	-79.3017	SUR	5	12	702	27.7014999389648	29.6201992034912	0.107968993484974	0.261302977800369	6.88158941268921	-999	-999	-999	-999
141	9.8481	-80.0454	SUR	5	12	694	28.5044002532959	35.6652984619141	9.62674808502197	0.0162345003336668	4.52868747711182	74.544	0.805	3.182	0.798
142	25.6236	-88.45	SUR	5	1	638.5	24.1958103179932	36.3196868896484	0.993252158164978	0.127447098493576	2.6985650062561	59.914	0.772	1.895	0.776
143	29.6394	-79.5395	SUR	5	1	627.5	24.3205089569092	36.2320899963379	0.634768307209015	0.194061785936356	1.15417659282684	61.059	0.791	2.062	0.783
144	36.4121	-72.9289	SUR	5	1	620.6666666666666	19.1109008789062	35.9468116760254	1.14337694644928	0.227994948625565	1.36659240722656	54.394	0.818	1.735	0.876
145	39.2305	-70.0377	SUR	5	2	615	11.0560998916626	34.4585876464844	3.97980666160583	0.544934093952179	4.39359569549561	49.691	0.961	1.637	1.546
146	34.6712	-71.3093	SUR	5	2	656.5	19.9943904876709	36.5710105895996	0.425611138343811	0.184928268194199	1.22341120243073	50.034	0.808	1.581	0.84
147	33.061	-66.5435	SUR	5	2	666.5	19.9304904937744	36.6066131591797	0.831734240055084	0.0987584665417671	0.858538329601288	40.784	0.81	1.307	0.852
148	31.6948	-64.2489	SUR	5	2	680	20.4235992431641	36.6280097961426	0.219476997852325	0.0453613251447678	0.745433986186981	38.305	0.821	1.26	0.875
149	34.0964	-49.8906	SUR	5	3	688.5	19.2075996398926	36.546501159668	0.766557455062866	0.0467686578631401	2.49832606315613	30.596	0.882	0.977	0.994
150	35.9346	-37.3032	SUR	5	3	695	18.3898906707764	36.4330101013184	0.254473030567169	0.0927563160657883	1.6914119720459	24.015	0.936	0.61	1.107
151	36.1375	-28.935	SUR	5	3	704	17.060791015625	36.2285003662109	0.652129948139191	0.191352277994156	0.800506234169006	20.411	0.949	0.333	1.146
152	43.6792	-16.8344	SUR	5	3	727	13.3055906295776	35.8082122802734	4.65578603744507	0.276552587747574	3.00969314575195	24.733	0.991	0.341	1.336
155	54.5305	-16.9377	SUR	5	5	994.3333333333334	11.259690284729	35.4092903137207	5.13444328308105	0.273567736148834	1.09124064445496	33.608	1.048	0.479	1.635
158	67.1675	0.2177	SUR	5	6	1440	8.62250995635986	35.1738891601562	4.47728061676025	0.407167464494705	3.99480390548706	54.273	1.019	0.282	1.373
163	76.102	2.0707	SUR	5	6	1440	2.83320999145508	34.8573112487793	5.71242904663086	0.448455005884171	4.170081615448	99.473	1.002	0.803	1.328
168	72.5491	44.0681	SUR	5	7	1440	5.86338996887207	34.8533897399902	0.328481465578079	0.246584743261337	1.56546890735626	98.118	0.965	0.704	1.163
173	78.9564	79.4201	SUR	5	7	1440	1.11848998069763	33.4063873291016	0.0579441264271736	0.431419432163239	1.37852168083191	169.737	0.937	2.913	1.273
175	79.2026	66.4827	SUR	5	7	1440	0.867389976978302	34.3293991088867	0.46165531873703	0.34891277551651	0.134307280182838	173.977	1.017	2.103	1.517
178	77.1604	73.2057	SUR	5	7	1440	0.930800020694733	31.9973907470703	0.635531961917877	0.580336391925812	5.19646167755127	179.211	0.979	3.032	1.372
180	74.8283	76.2096	SUR	5	7	1440	2.72039008140564	23.7509899139404	3.24548125267029	0.659778714179993	41.2840309143066	144.518	0.621	10.768	0.687
188	78.2518	91.8557	SUR	5	8	1440	0.0224900003522635	33.399787902832	0.0905959457159042	0.07424695789814	0	132.871	0.782	3.765	0.957
189	77.9028	117.1545	SUR	5	8	1215.5	0.622689962387085	28.9654903411865	0.182021409273148	0.332743346691132	5.24766635894775	163.4	0.842	7.17	0.977
191	71.5948	160.9381	SUR	5	9	930.5	1.48598992824554	24.9693088531494	0.608493089675903	1.00094926357269	13.5323495864868	248.819	0.716	9.23	0.902
193	71.0704	174.9917	SUR	5	9	873	0.859409987926483	29.6866912841797	0.267379462718964	0.813841462135315	5.53291177749634	218.994	0.823	5.095	1.085
194	73.3833	-168.1333	SUR	5	9	858.5	1.37371003627777	28.774808883667	0.119744382798672	0.578117609024048	4.43373537063599	169.576	0.832	2.658	1.109
196	71.8895	-154.9101	SUR	5	9	833	3.53729009628296	27.7756996154785	0.151169687509537	0.419827103614807	4.85384941101074	122.722	0.826	4.115	1.07
201	74.2987	-85.7806	SUR	5	9	662.5	19.0767049789428	35.1462936401367	0.792999237775803	0.302075251936913	2.3946404059728	-999	-999	-999	-999
205	72.4693	-71.892	SUR	5	10	584.5	-0.892610013484955	31.2192897796631	1.79327368736267	0.440587311983109	3.35527420043945	107.994	0.848	1.99	1.035
206	70.9618	-53.603	SUR	5	10	564.5	2.43762997786204	32.896900177002	1.78511774539948	0.0842517042377343	2.91491882006327	-999	-999	-999	-999
208	69.1136	-51.5086	SUR	5	10	508	2.93860006332397	33.1314125061035	1.63079333305359	0	3.1275737285614	-999	-999	-999	-999
209	64.7127	-53.0106	SUR	5	10	531.5	2.51750993728638	32.4420127868652	3.21612739562988	0.491306990385056	0.668157160282135	90.334	0.996	2.416	1.333
210	61.5442	-55.9865	SUR	5	10	535	5.20301008224487	33.9897994995117	3.41928625106812	0.553509712219238	2.27637243270874	61.584	1.006	0.427	1.519
